Organization Legal Name or 'Doing Business As' Name,Group Practice PAC ID,State,Participating in eRx,Participating in PQRS,Controlling blood sugar levels in patients with diabetes.,Footnote for measure DM 15,Controlling blood pressure in patients with diabetes.,Footnote for measure DM 13,Prescribing aspirin to patients with diabetes and heart disease.,Footnote for measure DM 16,Prescribing medicine to improve the pumping action of the heart in patients who have both heart disease and certain other conditions.,Footnote for measure CAD 7
"INPATIENT CONSULTANTS OF GEORGIA, INC",2264539618,GA, ,Y,,.,,.,,.,,.
PROMEDICA CENTRAL PHYSICIANS,2365348190,OH,Y, ,,.,,.,,.,,.
"SIU PHYSICIANS AND SURGEONS, INC",2365352820,IL,Y,Y,65,.,65,.,83,.,71,.
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,TX, ,Y,,.,,.,,.,,.
COLLIER NEUROLOGIC EASE- BACK AND HEADACHE CLINIC,2365434487,FL, ,Y,,.,,.,,.,,.
INOVA HEALTH CARE SERVICES,2466351093,VA, ,Y,,.,,.,,.,,.
IHA HEALTH SERVICES CORPORATION,2466351440,MI, ,Y,80,.,76,.,92,.,76,.
MID-ATLANTIC FAMILY PRACTICE,2466354188,DE, ,Y,,.,,.,,.,,.
"EASTERN RADIOLOGIST, INC",2466355383,NC, ,Y,,.,,.,,.,,.
"MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION, INC",2466365820,MA,Y,Y,,.,,.,,.,,.
FACULTY PRACTICE FOUNDATION INC,2466421367,MA, ,Y,,.,,.,,.,,.
BRIELLE ORTHOPEDICS PA,2466446265,NJ, ,Y,,.,,.,,.,,.
"INOVA PHYSICIAN PARTNERS, INC.",2466581772,VA, ,Y,,.,,.,,.,,.
"MEDICAL PRACTICES OF ANTIETAM, LLC",2567353865,MD, ,Y,,.,,.,,.,,.
PRIMACARE PC,2567356017,MA, ,Y,,.,,.,,.,,.
"MILFORD MEDICAL ASSOCIATES, PA",2567363740,DE, ,Y,,.,,.,,.,,.
NORTHFIELD HOSPITAL,2567372998,MN, ,Y,,.,,.,,.,,.
DOSHI DIAGNOSTIC IMAGING SERVICES P.C.,2567375033,NY, ,Y,,.,,.,,.,,.
UT PHYSICIANS SPECIALTY SERVICES,2567544570,TX, ,Y,67,.,62,.,61,.,84,.
JACKSON CLINIC PA,2668376872,TN, ,Y,,.,,.,,.,,.
OHIO PHYSICIAN PROFESSIONAL CORPORATION,2668406059,OH, ,Y,,.,,.,,.,,.
"WINTHROP PEDIATRIC ASSOCIATES, P.C.",2668443201,NY, ,Y,,.,,.,,.,,.
ENT MEDICAL CENTER,2668450644,LA, ,Y,,.,,.,,.,,.
"THE LONGSTREET CLINIC, PC",2668465733,GA,Y,Y,84,.,72,.,91,.,81,.
"ADAMS INTERNISTS,P.C.",2668490608,MA, ,Y,,.,,.,,.,,.
"ASSOCIATED SPECIALISTS OF SOUTHEASTERN CONNECTICUT, INC.",2668552787,CT, ,Y,,.,,.,,.,,.
NORTH FLORIDA SURGEONS P. A.,2769381391,FL, ,Y,,.,,.,,.,,.
"CENTRAL OHIO PRIMARY CARE PHYSICIANS, INC.",2769383785,OH, ,Y,,.,,.,,.,,.
PHYSICIANS PRIMARY CARE OF SOUTHWEST FLORIDA PL,2769389675,FL, ,Y,,.,,.,,.,,.
BLESSINGCARE CORPORATION,2769420959,IL, ,Y,,.,,.,,.,,.
BOSTON UNIVERSITY PLASTIC SURGERY ASSOCIATES INC,2769459825,MA, ,Y,,.,,.,,.,,.
LITTLE RIVER HEALTHCARE,2769487115,TX, ,Y,,.,,.,,.,,.
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA-OU PHYSICIANS,2860304334,OK,Y,Y,,.,,.,,.,,.
CAPITALCARE MEDICAL GROUP LLC,2860305802,NY, ,Y,,.,,.,,.,,.
TRI COUNTY EYE PHYSICIANS,2860393279,PA, ,Y,,.,,.,,.,,.
TIDEWATER PHYSICIANS MULTISPECIALTY GROUP,2860398526,VA, ,Y,,.,,.,,.,,.
NMPG,2860399698,IL,Y, ,,.,,.,,.,,.
YORK HOSPITAL,2961307467,PA, ,Y,65,.,77,.,95,.,,1
WICHITA CLINIC PA,2961314497,KS, ,Y,77,.,67,.,90,.,73,.
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV, ,Y,,.,,.,,.,,.
HEALTHTEXAS PROVIDER NETWORK,2961486089,TX, ,Y,81,.,80,.,92,.,83,.
RIVERSIDE MEDICAL CLINIC,2961492327,CA,Y,Y,75,.,66,.,72,.,82,.
"PREMIER PHYSICAL THERAPY AND SPORTS PERFORMANCE, LLC",2961505243,DE, ,Y,,.,,.,,.,,.
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083,AR, ,Y,,.,,.,,.,,.
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR, ,Y,,.,,.,,.,,.
NORTH SHORE LIJ MEDICAL GROUP AT SYOSSET PC,2961687504,NY,Y, ,,.,,.,,.,,.
BLESSING HOSPITAL,3072422534,IL, ,Y,,.,,.,,.,,.
NAZARETH PRIMARY CARE,3072425123,PA, ,Y,67,.,74,.,82,.,67,.
"THE MONROE CLINIC, INC.",3072425495,WI, ,Y,,.,,.,,.,,.
TRINITY CLINIC PSYCHIATRY,3072426741,TX,Y,Y,76,.,65,.,76,.,83,.
"THE EAR, NOSE, AND THROAT CLINIC AND HEARING CENTER",3072518992,MN, ,Y,,.,,.,,.,,.
DURHAM NEPHROLOGY ASSOCIATES PA,3072589027,NC, ,Y,,.,,.,,.,,.
COAST RADIOLOGY AND MEDICAL IMAGING MEDICAL GROUP,3072599448,CA, ,Y,,.,,.,,.,,.
FRANCISCAN PHYSICIAN NETWORK,3072790682,IL, ,Y,,.,,.,,.,,.
ST JOHN HOSPITAL AND MEDICAL CENTER,3173424082,MI, ,Y,,.,,.,,.,,.
GULF COAST DERMATOLOGY AND SKIN CARE CENTRE,3173425121,AL,Y, ,,.,,.,,.,,.
AMERICAN HEALTH NETWORK OF OHIO PROFESSIONAL CORPORATION,3173427721,OH,Y, ,,.,,.,,.,,.
ANESCO NORTH BROWARD LLC,3173436094,FL, ,Y,,.,,.,,.,,.
QUALITY CARE MEDICAL CLINIC,3274428008,WA,Y, ,,.,,.,,.,,.
ABINGTON MEMORIAL HOSPITAL,3274437736,PA, , ,73,.,72,.,82,.,70,.
SCRIPPS PROTON THERAPY CENTER,3274446836,CA, ,Y,,.,,.,,.,,.
CAROLINA DERMATOLOGY GRP,3274557384,SC, ,Y,,.,,.,,.,,.
DOVER FAMILY PHYSICIANS PA,3274561980,DE, ,Y,,.,,.,,.,,.
TROY PATHOLOGY PLLC,3274590138,NY, ,Y,,.,,.,,.,,.
"UNIVERSITY OTOLARYNGOLOGY-HEAD AND NECK SURGERY, INC.",3274613930,RI,Y, ,,.,,.,,.,,.
CEPAMERICA ILLINOIS LLP,3274793633,IL, ,Y,,.,,.,,.,,.
UTMB FACULTY GROUP PRACTICE,3375456734,TX,Y,Y,74,.,59,.,89,.,95,.
MICHIANA HEMATOLOGY ONCOLOGY PC,3375513419,IN,Y,Y,,.,,.,,.,,.
TEXAS DIGESTIVE DISEASE CONSULTANTS,3375531379,TX, ,Y,,.,,.,,.,,.
NORTH SHORE - LIJ MEDICAL PC,3375701568,NY,Y,Y,73,.,73,.,89,.,75,.
"NORTHWEST COMMUNITY HEALTH SERVICES, INC",3375737331,IL, ,Y,,.,,.,,.,,.
THE PHYSICIAN NETWORK,3476453267,NE, ,Y,,.,,.,,.,,.
NEW LEXINGTON CLINIC PSC,3476457532,KY,Y,Y,72,.,71,.,70,.,64,.
ST VINCENT HEALTHCARE,3476457714,MT, ,Y,,.,,.,,.,,.
SAINT ALPHONSUS REGIONAL MEDICAL CENTER INC,3476462359,ID, ,Y,,.,,.,,.,,.
UNIVERSITY PHYSICIANS INCORPORATED,3476465667,CO, ,Y,77,.,66,.,97,.,94,.
EXTENDED CARE PHYSICIANS - MOUNTAIN PA,3476467945,NC,Y, ,,.,,.,,.,,.
GESSLER CLINIC PROFESSIONAL ASSOCIATION,3476545484,FL, ,Y,,.,,.,,.,,.
"UNIVERSITY OF LOUISVILLE PHYSICIANS, INC",3476725599,KY, ,Y,63,.,63,.,85,.,86,.
NORTH SHORE PHYSICIANS GROUP,3577467224,MA,Y,Y,,.,,.,,.,,.
REGENTS OF THE UNIVESITY OF CALIFORNIA - UCSD MEDICAL GROUP,3577476761,CA, ,Y,78,.,70,.,77,.,79,.
"DRS GOLDFARB, RANNO AND ASSOCIATES. LLC",3577512821,CT, ,Y,,.,,.,,.,,.
CARLE PHYSICIAN GROUP,3577515774,IL, ,Y,77,.,67,.,97,.,85,.
ST MARY'S RADIOLOGY MEDICAL GROUP,3577695675,CA, ,Y,,.,,.,,.,,.
GALEN INPATIENT PHYSICIANS INC,3678464633,CA, ,Y,,.,,.,,.,,.
"MEDICAL DOCTORS IMAGING, INC",3678468584,CA, ,Y,,.,,.,,.,,.
SANSUM CLINIC,3678471976,CA,Y,Y,,.,,.,,.,,.
THE MEDICAL CENTER OF CENTRAL GEORGIA INC.,3678477445,GA, ,Y,,.,,.,,.,,.
MOUNTAIN VIEW FAMILY PRACTICE AND OBSTETRICS,3678483377,MT, ,Y,67,.,71,.,96,.,86,.
SHORELINE OPHTHALMOLOGY PC,3678537628,MI,Y, ,,.,,.,,.,,.
"CARDIOVASCULAR ASSOCIATES OF THE SOUTHEAST, LLC",3678749702,AL, ,Y,,.,,.,,.,,.
FROEDTERT AND THE MEDICAL COLLEGE OF WISCONSIN COMMUNITY PHYSICIANS,3678760063,WI, ,Y,,.,,.,,.,,.
"FAMILY MEDICINE SPECIALISTS, P.C.",3779482633,IA, ,Y,,.,,.,,.,,.
MARY IMOGENE BASSETT HOSPITAL,3779488325,NY, ,Y,69,.,75,.,90,.,81,.
LOYOLA UNIV MEDICAL CENTER,3779488903,IL,Y,Y,71,.,69,.,98,.,91,.
"FLETCHER ALLEN HEALTH CARE, INC",3779491071,VT,Y, ,,.,,.,,.,,.
REGENTS OF THE UNIVERSITY OF MICHIGAN,3779496856,MI,Y,Y,73,.,70,.,93,.,91,.
"REGAL MEDICAL GROUP, INC.",3779529979,CA,Y, ,,.,,.,,.,,.
NORTON SHORES INTERNAL MEDICINE AND NEPHROLOGY PLC,3779637194,MI,Y, ,,.,,.,,.,,.
HOSPITALIST MEDICINE PHYSICIANS OF OHIO PC,3779749197,OH, ,Y,,.,,.,,.,,.
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA, ,Y,,.,,.,,.,,.
BAYSIDE HEALTH ASSOCIATION,3870488901,DE, ,Y,,.,,.,,.,,.
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,3870489586,WI, ,Y,,.,,.,,.,,.
"MEDICAL ASSOCIATES CLINIC, P.C.",3870491228,IL, ,Y,80,.,84,.,95,.,43,.
BROCKTON NEIGHBORHOOD HEALTH CENTER,3870491699,MA, ,Y,,.,,.,,.,,.
FIVE VALLEYS UROLOGY,3870497571,MT,Y, ,,.,,.,,.,,.
"PULMONARY ASSOCIATES OF MOBILE, P.C.",3870571912,AL, ,Y,,.,,.,,.,,.
CARROLL HEALTH GROUP LLC,3870627029,MD,Y, ,,.,,.,,.,,.
HARBORVIEW MEDICAL CENTER,3971404716,WA, ,Y,64,.,65,.,73,.,85,.
DICKSON MEDICAL ASSOCIATES PC,3971408774,TN, ,Y,,.,,.,,.,,.
"STONY BROOK DERMATOLOGY ASSOCIATES, UNIVERSITY FACULTY PRACTICE CORP",3971493206,NY, ,Y,,.,,.,,.,,.
NORTH SHORE LONG ISLAND JEWISH HEALTH CARE INC,3971531039,NY,Y,Y,75,.,77,.,91,.,59,.
UC IRVINE HOSPITALIST PROGRAM,3971609611,CA, ,Y,,.,,.,,.,,.
PROMEDICA GENITO URINARY SURGEONS LLC,3971757238,OH,Y, ,,.,,.,,.,,.
SOUTHERN ORTHOPEDIC SPECIALISTS P A,4082511001,FL, ,Y,,.,,.,,.,,.
THE IOWA CLINIC PC,4082513742,IA,Y,Y,81,.,83,.,91,.,85,.
GERIATRIC SERVICES PC,4082518238,NY,Y, ,,.,,.,,.,,.
CANCER AND HEMATOLOGY CENTERS OF WESTERN MICHIGAN PC,4082526793,MI,Y, ,,.,,.,,.,,.
"MEDICAL FACULTY ASSOCIATES, INC",4082528898,DC,Y,Y,68,.,61,.,87,.,88,.
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,4082528955,AR,Y, ,,.,,.,,.,,.
"EAST TEXAS EYE CENTER, P.A.",4082655824,TX, ,Y,,.,,.,,.,,.
"CHARLESTON ENT ASSOCIATES, LLC",4082662234,SC, ,Y,,.,,.,,.,,.
PARTNERS PHYSICIAN GROUP,4183529340,OH, , ,,3,,3,,3,83,.
"SPECIALTY PHYSICIANS OF ILLINOIS, LLC",4183529456,IL, ,Y,,.,,.,,.,,.
